player,year,rim_a,mid_a,three_a
Pooh Williams,2010,75,59,100
Nick Rodgers,2010,0,1,3
Dana Smith,2010,134,127,91
Carlos Strong,2010,78,58,125
Sherrod Smith,2010,7,3,2
Eulis Stephens,2010,40,14,22
Brett Gifford,2010,21,40,1
Valdas Sirutis,2010,18,13,29
Corey Lowe,2010,76,128,220
Grant Leiendecker,2010,1,2,11
Patrick Bouli,2010,14,28,81
Antoine Pearson,2010,93,57,52
Chris Harris,2010,133,122,257
T.J. Topercer,2010,18,6,44
Brandon Adams,2010,87,60,2
Darryl Crawford,2010,136,168,76
Jabari Deshields,2010,24,33,21
Charles Jenkins,2010,133,227,153
Pierre Curtis,2010,61,64,62
Greg Washington,2010,49,143,1
Matt Parker,2010,8,10,65
Evan Neisler,2010,64,23,0
Moussa Camara,2010,63,57,135
Otis Polk,2010,171,53,0
Marc Larson,2010,75,53,0
Landon Milbourne,2010,124,170,37
Eric Hayes,2010,45,72,135
Vernon Macklin,2010,164,93,0
Levi Knutson,2010,13,13,25
Frank Hassell,2010,133,115,0
Kevin White,2010,81,139,72
Sean Carter,2010,116,6,0
Carlton Fay,2010,27,117,110
Paul Campbell,2010,39,55,0
Adhar Mayen,2010,13,80,77
Zach Hahn,2010,8,17,116
Matt Howard,2010,158,90,11
Shawn Vanzant,2010,16,18,46
Tunde Agboola,2010,5,3,2
George Barbour,2010,9,9,0
James Hett,2010,46,24,62
Thomas Coleman,2010,141,48,2
Kyle Riley,2010,64,28,52
Justin Nabors,2010,153,115,21
Noah States,2010,16,31,20
Adam Walker,2010,39,76,7
Jihad Ali,2010,27,57,70
Jay Threatt,2010,30,78,81
Isaiah Tate,2010,28,27,69
Vlad Moldoveanu,2010,70,85,124
Tyren Johnson,2010,119,195,82
Pawel Buczak,2010,75,30,25
Calvin Baker,2010,15,43,34
Yaniv Simpson,2010,0,0,6
Ousman Krubally,2010,96,38,0
Howard Crawford,2010,115,157,32
Ryan Reid,2010,71,96,0
Kyle Singler,2010,101,236,213
Nolan Smith,2010,155,231,153
Taylor King,2010,53,34,110
E'Twaun Moore,2010,63,267,146
JaJuan Johnson,2010,73,302,4
Tim Abromaitis,2010,118,60,189
Tyrone Nash,2010,130,47,0
Junior Salters,2010,31,42,178
Jerome Randle,2010,90,134,228
Tim Johnson,2010,141,58,1
Corey Godzinski,2010,29,19,60
Ryann Abraham,2010,39,32,63
Robo Kreps,2010,82,122,179
Peter Sullivan,2010,88,58,93
Matt Mullery,2010,222,33,34
Andrew Fleming,2010,13,14,0
Eugene Harvey,2010,134,13,29
L.D. Williams,2010,92,86,37
D.J. Gay,2010,25,100,152
Zavier Anderson,2010,3,2,0
Adam Carp,2010,5,0,1
Dante Jackson,2010,21,24,142
Justin Rutty,2010,282,96,0
Dante Curry,2010,4,12,40
Keaton Belcher,2010,58,28,150
Graeme Radford,2010,24,16,0
Grant Maxey,2010,6,6,2
Jason Averkamp,2010,44,35,39
Woody Payne,2010,70,39,19
Julius Thomas,2010,113,80,1
